ADDRESS,CITY,STATE,FIPS,lat,lon
8 SOUTH AOA ACCESS ROAD,ARLINGTON,VA,51013,38.8448097,-77.0430571
700 SOUTH BALL STREET,ARLINGTON,VA,51013,38.8643894,-77.0493549
6950 LITTLE FALLS ROAD,ARLINGTON,VA,51013,38.8875043,-77.1644941
3900 LEE HIGHWAY,ARLINGTON,VA,51013,38.8964266,-77.1072691
4805 WILSON BOULEVARD,ARLINGTON,VA,51013,38.878803,-77.1199885
4845 LEE HIGHWAY,ARLINGTON,VA,51013,38.8966972,-77.1271212
3121 NORTH 10TH STREET,ARLINGTON,VA,51013,38.884706,-77.0959312
1559 WILSON BOULEVARD,ARLINGTON,VA,51013,38.8946715,-77.0765201
2800 SOUTH TAYLOR STREET,ARLINGTON,VA,51013,38.840901,-77.0937089
3116 SOUTH ABINGDON STREET,ARLINGTON,VA,51013,38.836686,-77.0957426
1900 SOUTH WALTER REED DRIVE,ARLINGTON,VA,51013,38.8517368,-77.0919596
1750 SOUTH HAYES STREET,ARLINGTON,VA,51013,38.8578523,-77.05895
6950 LITTLE FALLS ROAD,ARLINGTON,VA,51013,38.8875034,-77.1644945
415 SHERIDAN AVENUE,FORT MYER,VA,51013,38.874189200000004,-77.0816863
